"Environment and Climate Change Canada"
"Monthly Values for May - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","12.3","0","1.5","31.0","0","-3.0","0","0.0","5",NA,"93.8","5",NA,"","7","","",NA,"184.4","6.5","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","11.9","0",NA,"28.9","0","-2.9","0","",,NA,"84.3","1",NA,"","8","",,NA,"191.1","1.5","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","12.6","7",NA,"29.7","6","-3.8","1","",,NA,"53.5","9",NA,"","7","",,NA,"131.6","2.1","3020035"
"ATLEE AGCM","50.810","-111.006","AB","11.7","10",NA,"27.9","8","-1.7","2","",,NA,"88.6","10",NA,"","8","",,NA,"133.6","2.1","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","9.6","0",NA,"28.8","0","-6.9","0","",,NA,"53.1","1",NA,"","8","",,NA,"260.4","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","10.4","7",NA,"28.9","6","-2.4","2","",,NA,"85.0","9",NA,"","6","",,NA,"182.6","1.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","11.0","4",NA,"28.4","1","-5.1","3","",,NA,"22.6","6",NA,"","2","",,NA,"188.9","0.1","3021912"
"CRAIGMYLE","51.767","-112.283","AB","11.5","0","1.0","30.0","0","-5.5","0","0.0","0","0.0","95.2","0","204.0","0.0","7","","",NA,"203.6","2.0","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","11.8","1",NA,"30.9","1","-4.2","1","",,NA,"86.4","6",NA,"","5","",,NA,"189.8","2.6","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","9.4","8",NA,"28.1","6","-7.2","3","",,NA,"57.9","9",NA,"","6","",,NA,"196.7","0.0","3023200"
