"Environment and Climate Change Canada"
"Monthly Values for January - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","-8.4","0",NA,"10.9","0","-24.5","0","",,NA,"6.3","0",NA,"15.0","2","",,NA,"817.1","0.0","301A001"
"ESTHER 1","51.670","-110.206","AB","-10.2","0",NA,"6.6","0","-35.3","0","",,NA,"5.8","0",NA,"","2","",,NA,"875.0","0.0","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","-9.3","0","2.4","9.5","0","-25.0","0","6.0","0","41.0","6.0","0","41.0","0.0","6","","",NA,"845.0","0.0","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","-11.2","1",NA,"6.4","1","-34.2","0","",,NA,"13.6","1",NA,"8.0","3","",,NA,"876.1","0.0","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","-9.7","2",NA,"8.1","2","-30.2","0","",,NA,"2.1","5",NA,"","0","",,NA,"802.1","0.0","3020035"
"ATLEE AGCM","50.810","-111.006","AB","-9.2","2",NA,"8.3","2","-27.9","0","",,NA,"9.2","3",NA,"","2","",,NA,"789.9","0.0","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","-9.2","0",NA,"8.8","0","-28.7","0","",,NA,"11.7","0",NA,"","3","",,NA,"843.4","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","-8.9","5",NA,"9.7","3","-25.8","3","",,NA,"36.5","5",NA,"","14","",,NA,"698.5","0.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","-10.1","3",NA,"5.1","2","-26.3","2","",,NA,"17.1","4",NA,"","3","",,NA,"785.6","0.0","3021912"
"CRAIGMYLE","51.767","-112.283","AB","-10.0","1","1.3","5.0","1","-25.0","1","36.9","1",NA,"36.9","1",NA,"0.0","7","","",NA,"840.1","0.0","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","-10.5","0",NA,"9.6","0","-28.3","0","",,NA,"",,NA,"","","",,NA,"882.9","0.0","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","-10.2","3",NA,"11.1","3","-25.9","0","",,NA,"14.0","4",NA,"","3","",,NA,"789.8","0.0","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","-7.6","3",NA,"5.8","3","-23.1","1","",,NA,"12.5","3",NA,"","3","",,NA,"716.7","0.0","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","-10.1","0",NA,"8.3","0","-25.9","0","",,NA,"13.9","0",NA,"21.0","3","",,NA,"871.0","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","-11.8","0",NA,"10.0","0","-29.4","0","",,NA,"4.1","2",NA,"2.0","2","",,NA,"924.6","0.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","-9.9","0",NA,"8.0","0","-30.4","0","",,NA,"9.3","11",NA,"","3","",,NA,"864.3","0.0","3023850"
"MORRIN AGDM","51.660","-112.675","AB","-10.5","1",NA,"7.6","1","-26.8","1","",,NA,"14.2","1",NA,"","3","",,NA,"856.3","0.0","3024668"
"OLDS AGDM","51.759","-114.085","AB","-7.3","0",NA,"10.7","0","-28.1","0","",,NA,"18.5","0",NA,"","3","",,NA,"783.9","0.0","3024925"
"OYEN AGDM","51.383","-110.350","AB","-11.0","10",NA,"4.4","8","-32.8","4","",,NA,"2.1","11",NA,"","0","",,NA,"609.8","0.0","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","-10.4","11",NA,"7.3","11","-27.0","4","",,NA,"8.9","11",NA,"","2","",,NA,"567.6","0.0","3025243"
"PRENTISS","52.433","-113.600","AB","-3.3","19",NA,"9.1","9","-17.1","19","",,NA,"6.8","19",NA,"","1","",,NA,"255.5","0.0","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","-10.8","0",NA,"9.9","0","-29.8","0","23.0","0",NA,"6.6","1",NA,"19.0","2","",,NA,"894.2","0.0","3025481"
"SCHULER AGDM","50.307","-110.091","AB","-7.5","3",NA,"9.6","1","-27.7","2","",,NA,"12.8","4",NA,"","3","",,NA,"712.7","0.0","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","-10.8","0",NA,"7.0","0","-35.5","0","10.0","0",NA,"10.0","0",NA,"10.0","5","","",NA,"894.1","0.0","3025928"
"THREE HILLS","51.768","-113.206","AB","-9.8","2",NA,"8.0","2","-30.4","0","",,NA,"14.9","4",NA,"","2","",,NA,"805.8","0.0","3026479"
"SUNDRE A","51.778","-114.683","AB","-8.8","0",NA,"11.9","0","-31.6","0","",,NA,"13.2","0",NA,"7.0","5","",,NA,"829.5","0.0","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","-7.8","5",NA,"8.4","5","-27.6","1","",,NA,"10.3","7",NA,"","1","",,NA,"671.3","0.0","3027582"
"AZURE","50.512","-114.013","AB","-3.7","4",NA,"14.1","2","-30.2","2","",,NA,"20.3","7",NA,"","11","",,NA,"586.8","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","-5.2","9",NA,"13.2","5","-27.6","5","",,NA,"5.1","11",NA,"","1","",,NA,"510.1","0.0","3030525"
"BARONS AGCM","50.026","-113.224","AB","-6.3","2",NA,"12.6","2","-29.0","0","",,NA,"4.3","3",NA,"","3","",,NA,"704.2","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","-8.7","1",NA,"12.6","1","-26.4","0","",,NA,"9.5","1",NA,"","3","",,NA,"800.3","0.0","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","-5.2","4",NA,"13.5","4","-28.9","0","",,NA,"0.4","25",NA,"","0","",,NA,"625.2","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","-4.5","6",NA,"13.8","5","-28.6","1","",,NA,"2.9","15",NA,"","1","",,NA,"561.5","0.0","3030720"
