"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"LINDBERGH AGDM","53.943","-110.579","AB","-7.5","4",NA,"9.9","2","-31.1","2","",,NA,"12.3","4",NA,"","4","",,NA,"689.2","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","-7.3","7",NA,"11.1","7","-25.9","7","",,NA,"7.1","7",NA,"","2","",,NA,"607.6","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","-6.8","0","-1.2","11.0","0","-26.0","0","25.6","0","191.0","23.6","0","164.0","1.0","6","","",NA,"768.7","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"26.8","4",NA,"27.2","4",NA,"2.0","6","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","-7.0","0",NA,"10.9","0","-25.8","0","",,NA,"31.6","0",NA,"","3","",,NA,"773.5","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"9.6","0","67.0","17.8","0","105.0","0.0","5","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","-6.5","3",NA,"11.6","2","-25.8","2","",,NA,"18.4","5",NA,"93.0","6","",,NA,"685.9","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","-7.2","0",NA,"11.0","0","-32.4","0","",,NA,"29.7","0",NA,"","4","",,NA,"781.2","0.0","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","-4.9","11",NA,"11.0","11","-28.6","8","",,NA,"17.3","11",NA,"","5","",,NA,"457.6","0.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","-6.7","6",NA,"12.9","4","-27.6","3","",,NA,"",,NA,"","","",,NA,"616.9","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","-6.6","0",NA,"12.0","0","-31.0","0","",,NA,"",,NA,"","","",,NA,"764.0","0.0","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","-6.6","0",NA,"10.9","0","-25.9","0","",,NA,"30.0","0",NA,"6.0","6","",,NA,"763.2","0.0","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","-2.2","12",NA,"14.6","8","-28.4","9","",,NA,"17.3","12",NA,"","3","",,NA,"383.4","0.0","3015480"
