"Environment and Climate Change Canada"
"Monthly Values for February - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"KILLAM AGDM","52.848","-111.872","AB","-4.1","4",NA,"8.4","4","-17.7","1","",,NA,"23.2","4",NA,"","12","",,NA,"552.7","0.0","3013640"
"KESSLER AGCM","52.290","-111.113","AB","-2.9","7",NA,"12.3","7","-16.7","3","",,NA,"4.4","10",NA,"","2","",,NA,"460.2","0.0","3013644"
"KITSCOTY AGCM","53.353","-110.416","AB","-6.0","7",NA,"6.3","6","-20.5","4","",,NA,"21.9","7",NA,"","12","",,NA,"527.5","0.0","3013660"
"LEGAL AGCM","54.003","-113.474","AB","-4.0","10",NA,"10.9","5","-16.7","7","",,NA,"9.6","7",NA,"","3","",,NA,"418.2","0.0","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","-6.5","8",NA,"7.6","5","-24.3","4","",,NA,"8.7","8",NA,"","4","",,NA,"513.5","0.0","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","-6.5","4",NA,"5.8","4","-20.9","4","",,NA,"0.0","9",NA,"","0","",,NA,"613.2","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","-5.9","0","5.8","5.8","0","-20.8","0","13.2","0","134.0","16.4","0","167.0","10.0","6","","",NA,"693.1","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"11.4","0","107.0","12.2","0","113.0","0.0","3","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","-4.6","0",NA,"8.2","0","-19.9","0","",,NA,"8.1","0",NA,"","2","",,NA,"654.3","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"19.4","0","223.0","28.0","0","317.0","0.0","5","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","-4.1","5",NA,"12.0","4","-17.0","2","",,NA,"7.6","7",NA,"","2","",,NA,"530.4","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","-5.6","4",NA,"9.4","2","-20.7","4","",,NA,"12.2","5",NA,"","4","",,NA,"589.5","0.0","3014690"
"NEW SEREPTA AGCM","53.262","-113.165","AB","-3.3","1",NA,"14.1","1","-16.0","1","",,NA,"5.5","1",NA,"","1","",,NA,"597.7","0.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","-2.1","4",NA,"13.4","4","-18.6","2","",,NA,"",,NA,"","","",,NA,"503.3","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","-4.2","0",NA,"14.1","0","-21.0","0","",,NA,"",,NA,"","","",,NA,"644.9","0.0","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","-4.2","0",NA,"10.5","0","-17.5","0","",,NA,"9.0","0",NA,"11.0","2","",,NA,"642.4","0.0","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","-4.0","5",NA,"9.9","4","-17.7","2","",,NA,"9.3","6",NA,"","4","",,NA,"527.7","0.0","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","-6.1","4",NA,"6.8","3","-20.1","3","",,NA,"5.2","5",NA,"","2","",,NA,"603.3","0.0","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","-3.7","3",NA,"10.4","3","-20.8","3","",,NA,"8.5","3",NA,"19.0","3","",,NA,"563.7","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","-2.5","0",NA,"14.2","0","-15.8","0","",,NA,"4.2","0",NA,"","2","",,NA,"594.3","0.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","-5.1","2",NA,"10.8","2","-25.1","1","",,NA,"10.7","1",NA,"","4","",,NA,"624.0","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","",,NA,"2.3","26","-3.6","28","",,NA,"",,NA,"","","",,NA,"","","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","-5.9","5",NA,"5.4","4","-16.2","2","",,NA,"3.2","5",NA,"","1","",,NA,"573.0","0.0","3015797"
"SEDGEWICK TOWN","52.783","-111.700","AB","-4.0","0","6.9","10.0","0","-18.0","0","10.0","0","113.0","10.0","0","112.0","0.0","2","","",NA,"638.5","0.0","3015808"
"SHONTS AGCM","53.333","-112.539","AB","-3.0","3",NA,"14.0","3","-17.3","1","",,NA,"5.6","4",NA,"","2","",,NA,"545.6","0.0","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","-3.8","14",NA,"10.3","14","-19.1","14","",,NA,"6.5","14",NA,"","1","",,NA,"326.3","0.0","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","-5.5","4",NA,"5.9","4","-16.6","1","",,NA,"10.3","6",NA,"","2","",,NA,"587.5","0.0","3016070"
"STETTLER AGDM","52.347","-112.596","AB","-2.9","1",NA,"10.8","1","-14.7","1","",,NA,"7.4","1",NA,"","3","",,NA,"583.8","0.0","3016124"
"THORSBY AGCM","53.217","-113.895","AB","-2.7","4",NA,"11.3","1","-15.8","4","",,NA,"10.2","5",NA,"","4","",,NA,"517.6","0.0","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","-1.8","5",NA,"13.0","5","-14.7","2","",,NA,"21.8","5",NA,"","8","",,NA,"475.0","0.0","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","-8.8","6",NA,"6.8","5","-25.8","4","",,NA,"9.1","7",NA,"","4","",,NA,"616.5","0.0","3016593"
"UNCAS","53.500","-113.033","AB","",,NA,"",,"",,"16.5","0",NA,"17.0","0",NA,"11.0","4","","",NA,"","","3016650"
"TWO HILLS AGDM","53.625","-111.678","AB","-4.9","3",NA,"8.5","2","-19.0","2","",,NA,"5.9","4",NA,"","1","",,NA,"594.7","0.0","3016655"
"VERMILION AGDM","53.344","-110.882","AB","-5.1","4",NA,"8.0","4","-20.1","1","",,NA,"9.3","5",NA,"","3","",,NA,"578.4","0.0","3016802"
"VIKING AGCM","53.182","-111.732","AB","-4.2","10",NA,"6.5","10","-16.6","5","",,NA,"4.1","10",NA,"","2","",,NA,"421.2","0.0","3016841"
"VIKING NORTH 3","53.283","-111.767","AB","-4.1","0",NA,"9.5","0","-16.5","0","12.1","0",NA,"13.1","0",NA,"12.0","6","","",NA,"641.0","0.0","3016845"
"VILNA AGCM","54.130","-111.921","AB","-5.5","1",NA,"8.2","1","-21.5","1","",,NA,"13.8","2",NA,"","5","",,NA,"657.5","0.0","3016852"
"VIOLET GROVE CS","53.144","-115.126","AB","-1.6","1",NA,"12.5","1","-14.9","0","",,NA,"2.8","25",NA,"8.0","1","",,NA,"547.7","0.0","3016860"
"VEGREVILLE","53.505","-112.098","AB","-3.9","0","6.9","13.2","0","-19.1","0","",,NA,"6.5","0","59.0","0.0","2","",,NA,"634.6","0.0","3016GF0"
"WETASKIWIN AGCM","52.980","-113.444","AB","-3.4","6",NA,"10.0","5","-16.6","2","",,NA,"5.6","7",NA,"","1","",,NA,"491.4","0.0","3017282"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","-1.7","0",NA,"12.3","0","-15.2","0","",,NA,"14.4","0",NA,"20.0","4","",,NA,"570.2","0.0","301A001"
"ESTHER 1","51.670","-110.206","AB","-4.0","0",NA,"9.6","0","-16.6","0","",,NA,"7.8","0",NA,"","4","",,NA,"637.3","0.0","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","-1.9","0","6.6","13.5","0","-13.0","0","13.0","0","131.0","13.0","0","131.0","4.0","5","","",NA,"576.4","0.0","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","-4.0","0",NA,"9.1","0","-17.7","0","",,NA,"6.6","0",NA,"","3","",,NA,"637.1","0.0","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","-2.9","2",NA,"10.4","2","-14.4","1","",,NA,"5.9","3",NA,"","2","",,NA,"564.0","0.0","3020035"
"ATLEE AGCM","50.810","-111.006","AB","-1.9","5",NA,"10.4","5","-14.1","1","",,NA,"6.3","5",NA,"","2","",,NA,"476.5","0.0","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","-2.1","0",NA,"9.9","0","-18.8","0","",,NA,"1.5","1",NA,"","0","",,NA,"583.2","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","-2.3","4",NA,"7.8","3","-14.2","3","",,NA,"33.4","5",NA,"","13","",,NA,"507.8","0.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","-4.3","4",NA,"7.1","2","-17.3","3","",,NA,"11.6","4",NA,"","3","",,NA,"557.7","0.0","3021912"
"CRAIGMYLE","51.767","-112.283","AB","-3.1","1","5.7","16.5","1","-18.0","1","15.5","1",NA,"15.5","1",NA,"","4","","",NA,"590.1","0.0","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","-2.1","0",NA,"11.2","0","-15.4","0","",,NA,"",,NA,"","","",,NA,"581.5","0.0","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","-5.7","7",NA,"8.3","7","-19.8","3","",,NA,"6.4","7",NA,"","3","",,NA,"520.5","0.0","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","-2.1","3",NA,"13.7","3","-14.9","1","",,NA,"6.5","3",NA,"","1","",,NA,"521.3","0.0","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","-3.8","0",NA,"10.8","0","-19.7","0","",,NA,"9.1","0",NA,"18.0","3","",,NA,"631.5","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","-5.9","3",NA,"8.3","2","-25.1","2","",,NA,"9.6","3",NA,"2.0","4","",,NA,"621.9","0.0","3023740"
"LINDEN AGCM","51.619","-113.656","AB","-2.2","0",NA,"12.2","0","-17.0","0","",,NA,"4.5","8",NA,"","2","",,NA,"587.2","0.0","3023850"
"MORRIN AGDM","51.660","-112.675","AB","-4.4","1",NA,"6.9","1","-18.8","1","",,NA,"13.1","1",NA,"","3","",,NA,"626.4","0.0","3024668"
"OLDS AGDM","51.759","-114.085","AB","-1.4","1",NA,"13.9","1","-14.2","1","",,NA,"7.2","2",NA,"","2","",,NA,"542.3","0.0","3024925"
"OYEN AGDM","51.383","-110.350","AB","-4.3","3",NA,"6.1","2","-15.9","3","",,NA,"3.9","6",NA,"","2","",,NA,"579.4","0.0","3024965"
"POLLOCKVILLE AGDM","51.125","-111.705","AB","-3.5","10",NA,"7.8","10","-18.0","5","",,NA,"7.4","10",NA,"","2","",,NA,"409.3","0.0","3025243"
"PRENTISS","52.433","-113.600","AB","-2.2","2",NA,"11.4","2","-14.6","1","",,NA,"8.9","3",NA,"","3","",,NA,"546.2","0.0","3025297"
"RED DEER REGIONAL A","52.182","-113.894","AB","-5.2","0",NA,"8.4","0","-21.1","0","9.4","1",NA,"10.2","1",NA,"25.0","3","",,NA,"674.0","0.0","3025481"
"SCHULER AGDM","50.307","-110.091","AB","-1.1","5",NA,"13.2","3","-14.3","4","",,NA,"6.4","6",NA,"","1","",,NA,"459.0","0.0","3025768"
"SIBBALD WESTGARD","51.425","-110.146","AB","-4.5","3",NA,"7.0","3","-16.0","3","8.0","3",NA,"9.4","3",NA,"4.0","3","","",NA,"583.8","0.0","3025928"
"THREE HILLS","51.768","-113.206","AB","-3.4","2",NA,"6.8","2","-15.3","1","",,NA,"7.0","3",NA,"","2","",,NA,"578.7","0.0","3026479"
"SUNDRE A","51.778","-114.683","AB","-1.5","0",NA,"17.2","0","-20.1","0","",,NA,"1.6","0",NA,"1.0","1","",,NA,"565.7","0.0","3026KNQ"
"WIMBORNE AGCM","51.936","-113.591","AB","-2.7","5",NA,"10.5","5","-15.2","1","",,NA,"5.0","6",NA,"","2","",,NA,"495.6","0.0","3027582"
"AZURE","50.512","-114.013","AB","0.5","4",NA,"15.2","4","-13.6","1","",,NA,"8.2","7",NA,"","4","",,NA,"437.1","0.0","3030450"
"BARNWELL AGDM","49.800","-112.300","AB","1.8","9",NA,"17.6","4","-13.4","6","",,NA,"4.3","8",NA,"","1","",,NA,"323.5","0.0","3030525"
"BARONS AGCM","50.026","-113.224","AB","0.2","8",NA,"16.1","7","-17.6","4","",,NA,"1.1","9",NA,"","0","",,NA,"372.9","0.0","3030529"
"BASSANO AGCM","50.893","-112.465","AB","-1.7","6",NA,"16.8","4","-13.1","4","",,NA,"10.6","7",NA,"","2","",,NA,"454.0","0.0","3030540"
"BLACK DIAMOND","50.707","-114.152","AB","-0.4","4",NA,"16.8","2","-15.8","3","",,NA,"0.0","28",NA,"","0","",,NA,"461.1","0.0","3030680"
"BLOOD TRIBE AGDM","49.567","-113.050","AB","2.4","3",NA,"16.1","2","-11.9","2","",,NA,"0.4","5",NA,"","0","",,NA,"405.4","0.0","3030720"
"BOW ISLAND","49.734","-111.450","AB","1.5","0",NA,"19.0","0","-15.3","0","",,NA,"2.5","0",NA,"","1","",,NA,"478.1","0.0","3030768"
"BOW ISLAND IRRIGATION AGDM","49.867","-111.383","AB","1.0","0",NA,"17.8","0","-14.5","0","",,NA,"6.2","0",NA,"","2","",,NA,"492.6","0.0","3030772"
"BROCKET AGDM","49.617","-113.817","AB","2.7","3",NA,"14.2","3","-11.9","1","",,NA,"0.0","19",NA,"","0","",,NA,"397.3","0.0","3030830"
"BROOKS","50.555","-111.849","AB","-0.3","0",NA,"18.3","0","-13.5","0","",,NA,"5.9","0",NA,"0.0","1","",,NA,"532.0","0.0","3030QLP"
"CALGARY INTL A","51.123","-114.013","AB","1.4","0",NA,"16.9","0","-11.3","0","1.8","0",NA,"2.2","0",NA,"0.0","1","",,NA,"480.5","0.0","3031092"
"CALGARY INT'L CS","51.109","-114.000","AB","0.8","0",NA,"16.6","0","-12.6","0","",,NA,"1.7","0",NA,"0.0","0","",,NA,"499.2","0.0","3031094"
"CARDSTON","49.201","-113.286","AB","3.4","0",NA,"19.0","0","-12.0","0","",,NA,"0.5","0",NA,"","0","",,NA,"423.8","0.0","3031322"
