"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"LLOYDMINSTER","53.309","-110.073","AB","2.2","11",NA,"17.7","11","-11.1","10","",,NA,"53.4","11",NA,"","10","",,NA,"299.6","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","2.3","0","-1.7","18.0","0","-11.0","0","52.8","0","396.0","82.6","0","314.0","0.0","11","","",NA,"471.8","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"25.8","8",NA,"44.8","8",NA,"0.0","8","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","3.7","20",NA,"14.3","20","-4.3","19","",,NA,"1.6","20",NA,"","1","",,NA,"142.6","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"21.4","0","318.0","42.6","0","186.0","0.0","11","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","2.8","7",NA,"16.4","5","-5.8","3","",,NA,"41.8","9",NA,"","7","",,NA,"349.2","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","2.8","2",NA,"18.6","1","-7.7","1","",,NA,"69.2","2",NA,"","9","",,NA,"424.9","0.0","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","2.6","8",NA,"13.3","4","-4.0","7","",,NA,"36.1","10",NA,"","9","",,NA,"339.3","0.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","3.3","10",NA,"16.4","5","-6.6","8","",,NA,"",,NA,"","","",,NA,"294.1","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","2.6","0",NA,"16.7","0","-5.4","0","",,NA,"",,NA,"","","",,NA,"462.4","0.0","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","2.5","0",NA,"17.5","0","-8.2","0","",,NA,"74.7","0",NA,"5.0","11","",,NA,"465.7","0.0","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","2.8","13",NA,"16.2","8","-8.2","10","",,NA,"23.6","14",NA,"","7","",,NA,"257.6","0.0","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","2.7","5",NA,"18.7","3","-9.5","3","",,NA,"43.5","5",NA,"","11","",,NA,"382.7","0.0","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","2.7","0",NA,"14.1","0","-12.0","0","",,NA,"38.7","0",NA,"","9","",,NA,"457.9","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","3.3","0",NA,"16.9","0","-9.7","0","",,NA,"44.5","0",NA,"","9","",,NA,"442.2","0.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","2.3","6",NA,"15.3","3","-7.8","4","",,NA,"48.9","5",NA,"","7","",,NA,"377.9","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","2.2","5",NA,"16.3","3","-9.0","4","",,NA,"50.9","5",NA,"","8","",,NA,"394.2","0.0","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","3.9","0",NA,"20.8","0","-8.6","0","",,NA,"16.4","1",NA,"","5","",,NA,"421.6","0.0","3015797"
"SHONTS AGCM","53.333","-112.539","AB","2.9","0",NA,"16.9","0","-9.6","0","",,NA,"52.5","1",NA,"","11","",,NA,"452.9","0.0","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","2.0","0",NA,"16.3","0","-7.2","0","",,NA,"59.6","0",NA,"","11","",,NA,"478.7","0.0","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","3.2","0",NA,"20.3","0","-7.8","0","",,NA,"22.8","17",NA,"","5","",,NA,"444.5","0.0","3016070"
"STETTLER AGDM","52.347","-112.596","AB","3.2","3",NA,"18.6","1","-10.5","3","",,NA,"38.8","3",NA,"","8","",,NA,"398.8","0.0","3016124"
"THORSBY AGCM","53.217","-113.895","AB","2.8","5",NA,"15.2","1","-10.6","4","",,NA,"48.1","5",NA,"","10","",,NA,"378.9","0.0","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","2.9","0",NA,"14.3","0","-8.7","0","",,NA,"66.9","0",NA,"","12","",,NA,"453.8","0.0","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","1.5","23",NA,"15.4","21","-10.2","18","",,NA,"1.1","25",NA,"","1","",,NA,"115.7","0.0","3016593"
