"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"THORSBY AGCM","53.217","-113.895","AB","14.7","10",NA,"28.0","8","5.8","4","",,NA,"49.8","9",NA,"","8","",,NA,"71.8","5.2","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","14.3","0",NA,"26.4","0","3.6","0","",,NA,"137.0","0",NA,"","12","",,NA,"116.0","4.4","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","15.0","7",NA,"27.4","5","2.7","3","",,NA,"63.7","8",NA,"","11","",,NA,"72.1","3.1","3016593"
"UNCAS","53.500","-113.033","AB","",,NA,"",,"",,"0.0","0",NA,"101.6","0",NA,"0.0","14","","",NA,"","","3016650"
"TWO HILLS AGDM","53.625","-111.678","AB","15.1","6",NA,"26.7","4","5.1","3","",,NA,"54.9","8",NA,"","9","",,NA,"71.6","2.9","3016655"
"VERMILION AGDM","53.344","-110.882","AB","14.8","2",NA,"27.6","2","4.2","0","",,NA,"42.9","3",NA,"","7","",,NA,"94.0","4.1","3016802"
"VIKING AGCM","53.182","-111.732","AB","15.2","1",NA,"28.1","1","5.5","0","",,NA,"126.5","1",NA,"","11","",,NA,"89.7","8.1","3016841"
"VILNA AGCM","54.130","-111.921","AB","14.4","2",NA,"25.5","1","3.2","1","",,NA,"87.3","3",NA,"","13","",,NA,"101.7","0.5","3016852"
"VIOLET GROVE CS","53.144","-115.126","AB","14.2","0",NA,"28.9","0","3.9","0","",,NA,"102.8","0",NA,"","12","",,NA,"119.0","5.2","3016860"
"VEGREVILLE","53.505","-112.098","AB","16.0","0","1.6","28.8","0","5.6","0","",,NA,"90.5","0","149.0","","10","",,NA,"68.5","8.4","3016GF0"
