"Environment and Climate Change Canada"
"Monthly Values for May - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"KILLAM AGDM","52.848","-111.872","AB","14.0","0",NA,"30.7","0","-0.8","0","",,NA,"",,NA,"","","",,NA,"129.3","6.6","3013640"
"KINSELLA RESEARC STATION","53.047","-111.548","AB","14.7","13",NA,"30.7","13","-0.9","13","",,NA,"16.1","13",NA,"","2","",,NA,"63.5","4.4","3013647"
"KITSCOTY AGCM","53.353","-110.416","AB","14.2","1",NA,"31.2","1","0.4","0","",,NA,"22.5","2",NA,"","4","",,NA,"122.6","7.8","3013660"
"LEGAL AGCM","54.003","-113.474","AB","14.4","1",NA,"29.2","1","-2.2","0","",,NA,"15.4","2",NA,"","5","",,NA,"114.2","7.5","3013790"
"LINDBERGH AGDM","53.943","-110.579","AB","12.5","1",NA,"29.3","1","-3.1","0","",,NA,"16.9","1",NA,"","6","",,NA,"167.4","1.8","3013921"
"LLOYDMINSTER","53.309","-110.073","AB","14.5","4",NA,"31.1","4","-0.8","4","",,NA,"14.6","4",NA,"","2","",,NA,"100.8","6.1","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","13.9","1","3.8","30.5","1","-1.0","1","0.0","1",NA,"33.6","1",NA,"0.0","6","","",NA,"126.8","4.9","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"0.0","6",NA,"23.8","6",NA,"0.0","6","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","14.1","0",NA,"31.2","0","-1.2","0","",,NA,"15.6","1",NA,"","4","",,NA,"126.6","7.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0","0.0","43.6","0","118.0","0.0","7","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","14.2","1",NA,"29.2","1","1.2","1","",,NA,"17.9","4",NA,"","4","",,NA,"118.6","4.7","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","13.1","2",NA,"30.6","2","-4.7","1","",,NA,"25.3","3",NA,"","4","",,NA,"146.1","4.1","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","14.2","1",NA,"28.9","1","0.2","1","",,NA,"26.3","2",NA,"","3","",,NA,"118.9","5.4","3014795"
"OLIVER AGDM","53.650","-113.350","AB","13.8","0",NA,"29.3","0","-1.6","0","",,NA,"",,NA,"","","",,NA,"133.8","3.7","3014921"
"RADWAY AGCM","53.995","-112.879","AB","14.0","0",NA,"29.8","0","-2.7","0","",,NA,"",,NA,"","","",,NA,"127.8","4.2","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","14.4","0",NA,"30.5","0","-0.7","0","",,NA,"12.3","0",NA,"","4","",,NA,"119.9","6.9","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","14.3","10",NA,"31.5","8","-2.9","6","",,NA,"23.0","10",NA,"","4","",,NA,"84.1","7.1","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","13.9","7",NA,"31.5","7","-0.1","3","",,NA,"25.5","8",NA,"","3","",,NA,"104.1","4.7","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","12.3","0",NA,"28.5","0","-3.1","0","",,NA,"36.9","0",NA,"","6","",,NA,"176.2","1.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","14.2","0",NA,"30.7","0","1.1","0","",,NA,"29.5","1",NA,"","6","",,NA,"126.2","7.1","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","14.4","5",NA,"28.8","4","-2.3","3","",,NA,"7.7","6",NA,"","4","",,NA,"98.6","4.3","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","14.0","0",NA,"29.7","0","-1.7","0","",,NA,"19.0","3",NA,"","5","",,NA,"129.5","6.4","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","14.0","0",NA,"31.5","0","-2.1","0","",,NA,"14.8","2",NA,"","4","",,NA,"131.6","6.8","3015797"
"SHONTS AGCM","53.333","-112.539","AB","13.7","1",NA,"29.3","1","-0.8","1","",,NA,"16.5","1",NA,"","4","",,NA,"133.3","3.2","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","13.8","1",NA,"28.8","1","-1.1","0","",,NA,"7.3","1",NA,"","3","",,NA,"129.3","4.2","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","13.2","0",NA,"31.4","0","-0.1","0","",,NA,"18.8","22",NA,"","2","",,NA,"150.9","2.9","3016070"
"STETTLER AGDM","52.347","-112.596","AB","14.0","1",NA,"30.8","1","1.5","0","",,NA,"21.0","2",NA,"","5","",,NA,"128.1","8.2","3016124"
"THORSBY AGCM","53.217","-113.895","AB","14.5","5",NA,"28.8","4","0.4","2","",,NA,"16.0","5",NA,"","3","",,NA,"97.0","6.1","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","13.7","0",NA,"28.5","0","1.0","0","",,NA,"23.9","1",NA,"","3","",,NA,"137.1","4.8","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","13.9","2",NA,"31.1","2","-2.6","0","",,NA,"28.9","2",NA,"","6","",,NA,"124.4","5.4","3016593"
