"Environment and Climate Change Canada"
"Monthly Values for April - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"LLOYDMINSTER","53.309","-110.073","AB","-1.5","3",NA,"26.7","3","-23.0","3","",,NA,"1.9","3",NA,"","1","",,NA,"527.1","0.0","3013959"
"LLOYDMINSTER A","53.309","-110.073","AB","-0.9","0","-4.8","27.0","0","-23.0","0","5.0","0","37.0","9.2","0","35.0","0.0","2","","",NA,"566.4","0.0","3013961"
"HOLDEN SOUTH","53.083","-112.267","AB","",,NA,"",,"",,"4.8","2",NA,"9.4","2",NA,"0.0","3","","",NA,"","","3013C44"
"MANNVILLE AGCM","53.456","-111.255","AB","-0.4","0",NA,"27.1","0","-21.5","0","",,NA,"11.0","0",NA,"","3","",,NA,"552.4","0.0","3014195"
"MONITOR","52.017","-110.550","AB","",,NA,"",,"",,"0.0","0","0.0","2.0","0","9.0","0.0","1","","",NA,"","","3014600"
"MUNDARE AGDM","53.567","-112.300","AB","0.2","1",NA,"26.6","1","-22.1","0","",,NA,"18.6","1",NA,"","3","",,NA,"515.4","0.0","3014665"
"MYRNAM AGCM","53.720","-111.114","AB","-1.3","1",NA,"28.0","1","-28.5","0","",,NA,"9.3","1",NA,"","2","",,NA,"560.3","0.0","3014690"
"NEW SAREPTA AGCM","53.262","-113.165","AB","0.6","2",NA,"26.6","2","-23.5","0","",,NA,"9.5","2",NA,"","2","",,NA,"488.5","0.0","3014795"
"OLIVER AGDM","53.650","-113.350","AB","-0.4","4",NA,"27.2","4","-25.8","1","",,NA,"",,NA,"","","",,NA,"477.8","0.0","3014921"
"RADWAY AGCM","53.995","-112.879","AB","-0.2","1",NA,"27.7","1","-28.5","0","",,NA,"",,NA,"","","",,NA,"526.8","0.0","3015346"
"RANFURLY AUTO","53.425","-111.726","AB","-0.4","1",NA,"27.8","1","-22.4","0","",,NA,"9.9","1",NA,"4.0","2","",,NA,"532.2","0.0","3015401"
"RIBSTONE SOUTH AGCM","52.587","-110.343","AB","0.7","4",NA,"21.5","4","-24.2","0","",,NA,"7.4","3",NA,"","2","",,NA,"450.1","0.0","3015480"
"RIVERCOURSE AGCM","53.019","-110.102","AB","-1.1","2",NA,"26.6","1","-23.7","2","",,NA,"9.7","3",NA,"","3","",,NA,"534.3","0.0","3015501"
"ROCKY MTN HOUSE (AUT)","52.421","-114.912","AB","-0.6","1",NA,"26.5","1","-25.4","0","",,NA,"22.0","1",NA,"","5","",,NA,"539.0","0.0","3015523"
"ROSALIND AGCM","52.780","-112.428","AB","0.2","1",NA,"26.8","1","-25.6","0","",,NA,"10.1","4",NA,"","3","",,NA,"515.6","0.0","3015600"
"ST. LINA AGCM","54.282","-111.453","AB","0.0","7",NA,"21.5","5","-26.8","4","",,NA,"15.0","6",NA,"","4","",,NA,"414.9","0.0","3015673"
"ST. PAUL AGCM","54.011","-111.272","AB","-1.1","1",NA,"26.9","1","-28.1","0","",,NA,"17.0","17",NA,"","3","",,NA,"555.1","0.0","3015676"
"SEDALIA AGCM","51.590","-110.755","AB","0.4","1",NA,"27.8","1","-25.7","0","",,NA,"2.7","3",NA,"","1","",,NA,"509.4","0.0","3015797"
"SHONTS AGCM","53.333","-112.539","AB","0.1","1",NA,"27.4","1","-26.6","0","",,NA,"16.5","2",NA,"","3","",,NA,"518.6","0.0","3015900"
"SMOKY LAKE AGDM","54.278","-112.499","AB","0.0","1",NA,"25.9","1","-22.7","0","",,NA,"22.9","1",NA,"","5","",,NA,"521.4","0.0","3016022"
"SPONDIN AGCM","51.816","-111.683","AB","-0.4","1",NA,"26.9","1","-25.6","0","",,NA,"7.9","22",NA,"","2","",,NA,"532.5","0.0","3016070"
"STETTLER AGDM","52.347","-112.596","AB","-0.3","3",NA,"26.0","3","-23.1","0","",,NA,"6.9","3",NA,"","3","",,NA,"495.1","0.0","3016124"
"THORSBY AGCM","53.217","-113.895","AB","0.6","2",NA,"27.4","2","-25.4","0","",,NA,"12.4","2",NA,"","4","",,NA,"487.7","0.0","3016441"
"TOMAHAWK AGDM","53.439","-114.718","AB","1.1","0",NA,"26.1","0","-20.4","0","",,NA,"18.0","1",NA,"","3","",,NA,"507.1","0.0","3016505"
"TULLIBY LAKE AGCM","53.664","-110.081","AB","-0.4","2",NA,"26.9","1","-24.6","1","",,NA,"13.0","2",NA,"","4","",,NA,"514.4","0.0","3016593"
"UNCAS","53.500","-113.033","AB","",,NA,"",,"",,"15.4","0",NA,"18.8","0",NA,"0.0","4","","",NA,"","","3016650"
"TWO HILLS AGDM","53.625","-111.678","AB","0.0","1",NA,"26.0","1","-20.5","0","",,NA,"17.4","1",NA,"","3","",,NA,"522.5","0.0","3016655"
"VERMILION AGDM","53.344","-110.882","AB","-0.8","7",NA,"20.9","6","-26.0","3","",,NA,"10.2","7",NA,"","3","",,NA,"432.7","0.0","3016802"
"VIKING AGCM","53.182","-111.732","AB","0.4","3",NA,"26.5","3","-21.6","0","",,NA,"9.4","3",NA,"","2","",,NA,"474.8","0.0","3016841"
"VILNA AGCM","54.130","-111.921","AB","-0.8","5",NA,"26.9","3","-27.3","2","",,NA,"13.5","5",NA,"","3","",,NA,"470.3","0.0","3016852"
"VIOLET GROVE CS","53.144","-115.126","AB","1.0","0",NA,"26.7","0","-21.1","0","",,NA,"16.1","0",NA,"","2","",,NA,"509.5","0.0","3016860"
"VEGREVILLE","53.505","-112.098","AB","0.4","1","-3.9","27.4","1","-27.0","0","",,NA,"",,NA,"","","",,NA,"511.4","0.0","3016GF0"
"WETASKIWIN AGCM","52.980","-113.444","AB","1.6","4",NA,"27.4","3","-26.0","1","",,NA,"11.9","4",NA,"","3","",,NA,"426.6","0.0","3017282"
"EDMONTON STONY PLAIN CS","53.547","-114.108","AB","1.3","0",NA,"26.9","0","-19.8","0","",,NA,"15.0","0",NA,"","3","",,NA,"499.9","0.0","301A001"
"ESTHER 1","51.670","-110.206","AB","1.2","0",NA,"28.5","0","-22.9","0","",,NA,"0.7","0",NA,"","0","",,NA,"502.9","0.0","301B460"
"UNIVERSITY OF ALBERTA METABOLIC CENTRE","53.517","-113.533","AB","3.2","3","-1.9","29.5","2","-21.0","2","11.0","0","118.0","11.0","0","41.0","0.0","2","","",NA,"400.5","0.3","301FFNJ"
"WAINWRIGHT CFB AIRFIELD 21","52.829","-111.096","AB","0.5","0",NA,"27.0","0","-23.2","0","",,NA,"9.0","0",NA,"","2","",,NA,"524.8","0.0","301S001"
"ACADIA VALLEY","51.066","-110.317","AB","1.9","1",NA,"28.1","1","-21.9","0","",,NA,"3.9","3",NA,"","1","",,NA,"467.2","0.0","3020035"
"ATLEE AGCM","50.810","-111.006","AB","2.3","1",NA,"27.8","1","-18.3","0","",,NA,"4.7","2",NA,"","2","",,NA,"455.6","0.0","3020405"
"BEISEKER AGCM","51.379","-113.357","AB","-0.5","1",NA,"26.8","1","-27.8","0","",,NA,"17.5","1",NA,"","6","",,NA,"537.7","0.0","3020610"
"BIG VALLEY AGCM","51.998","-112.803","AB","1.1","1",NA,"26.8","1","-21.1","0","",,NA,"10.7","1",NA,"","3","",,NA,"491.0","0.0","3020679"
"CRAIGMYLE AGCM","51.775","-112.252","AB","-0.1","1",NA,"27.1","1","-25.7","0","",,NA,"10.7","2",NA,"","3","",,NA,"525.4","0.0","3021912"
"CRAIGMYLE","51.767","-112.283","AB","0.2","2","-4.7","27.0","2","-26.0","2","2.6","2",NA,"5.6","2",NA,"0.0","2","","",NA,"498.5","0.0","3021940"
"DRUMHELLER EAST","51.445","-112.677","AB","1.4","1",NA,"28.4","1","-23.6","0","",,NA,"3.6","25",NA,"","1","",,NA,"481.6","0.0","30221LG"
"HESPERO AGCM","52.310","-114.486","AB","-0.5","1",NA,"26.3","1","-27.4","0","",,NA,"20.1","1",NA,"","5","",,NA,"536.6","0.0","3023200"
"HUSSAR AGDM","51.183","-112.500","AB","1.1","3",NA,"25.8","2","-21.3","2","",,NA,"11.0","4",NA,"","2","",,NA,"457.3","0.0","3023402"
"LACOMBE CDA 2","52.449","-113.756","AB","0.5","1",NA,"26.6","1","-27.1","0","",,NA,"21.9","1",NA,"","6","",,NA,"508.7","0.0","3023722"
"LEEDALE AGDM","52.553","-114.473","AB","-0.7","1",NA,"27.1","1","-28.6","0","",,NA,"23.1","1",NA,"","6","",,NA,"542.8","0.0","3023740"
